dataset	method	seed	start	count	out_dir	method_config_override
cifar100	m1_glfc	0	0	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	64	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	128	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	192	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	256	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	320	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	384	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	448	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	512	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	576	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	640	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	704	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	768	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	832	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
cifar100	m1_glfc	0	896	64	/data/islamm/retention_leakage/shadows_v3/cifar100/m1_glfc/seed0	{"distillation_weight": 1.0, "exemplar_budget": 10, "local_epochs": 30, "lr": 0.5, "replay_weight": 2.0, "temperature": 2.0}
